,USDCAD=X,USDCAD=X,USDCAD=X,USDCAD=X,USDCAD=X,USDCAD=X,^VIX,^VIX,^VIX,^VIX,^VIX,^VIX,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
2018-02-28,1.2773200273513794,1.2817699909210205,1.2761000394821167,1.277109980583191,1.277109980583191,0.0,18.079999923706055,20.440000534057617,15.649999618530273,19.850000381469727,19.850000381469727,0.0,15723.599609375,15726.099609375,15442.0,15442.7001953125,15442.7001953125,26825300000.0,2753.780029296875,2761.52001953125,2713.5400390625,2713.830078125,2713.830078125,4230660000.0
2018-03-01,1.2835999727249146,1.2863800525665283,1.2821500301361084,1.2833000421524048,1.2833000421524048,0.0,19.959999084472656,25.299999237060547,19.56999969482422,22.469999313354492,22.469999313354492,0.0,15452.7001953125,15455.900390625,15313.900390625,15394.0,15394.0,23492960000.0,2715.219970703125,2730.889892578125,2659.64990234375,2677.669921875,2677.669921875,4503970000.0
2018-03-02,1.28302001953125,1.2903200387954712,1.2818000316619873,1.283210039138794,1.283210039138794,0.0,22.469999313354492,26.219999313354492,19.360000610351562,19.59000015258789,19.59000015258789,0.0,15314.599609375,15404.900390625,15286.599609375,15384.599609375,15384.599609375,21860950000.0,2658.889892578125,2696.25,2647.320068359375,2691.25,2691.25,3882450000.0
2018-03-05,1.288599967956543,1.298699975013733,1.2877600193023682,1.2888100147247314,1.2888100147247314,0.0,21.549999237060547,21.56999969482422,17.940000534057617,18.729999542236328,18.729999542236328,0.0,15340.2001953125,15559.2001953125,15334.7001953125,15541.2998046875,15541.2998046875,2066350000.0,2681.06005859375,2728.090087890625,2675.75,2720.93994140625,2720.93994140625,3710810000.0
2018-03-06,1.2979199886322021,1.2994099855422974,1.286870002746582,1.2979899644851685,1.2979899644851685,0.0,18.25,19.639999389648438,17.68000030517578,18.360000610351562,18.360000610351562,0.0,15568.900390625,15591.0,15503.7998046875,15545.2001953125,15545.2001953125,22090890000.0,2730.179931640625,2732.080078125,2711.260009765625,2728.1201171875,2728.1201171875,3370690000.0
2018-03-07,1.2947399616241455,1.2994600534439087,1.2895499467849731,1.29489004611969,1.29489004611969,0.0,20.110000610351562,20.489999771118164,17.520000457763672,17.760000228881836,17.760000228881836,0.0,15487.2001953125,15611.900390625,15471.599609375,15472.599609375,15472.599609375,18307170000.0,2710.179931640625,2730.60009765625,2701.739990234375,2726.800048828125,2726.800048828125,3393270000.0
2018-03-08,1.2904000282287598,1.2950999736785889,1.2866899967193604,1.290619969367981,1.290619969367981,0.0,17.559999465942383,17.68000030517578,14.90999984741211,16.540000915527344,16.540000915527344,0.0,15511.099609375,15552.7001953125,15477.7998046875,15538.7001953125,15538.7001953125,17326520000.0,2732.75,2740.449951171875,2722.64990234375,2738.969970703125,2738.969970703125,3212320000.0
2018-03-09,1.2894999980926514,1.2907999753952026,1.281999945640564,1.2896100282669067,1.2896100282669067,0.0,16.40999984741211,16.75,13.3100004196167,14.640000343322754,14.640000343322754,0.0,15581.0,15598.7998046875,15503.0,15577.7998046875,15577.7998046875,16381130000.0,2752.909912109375,2786.570068359375,2751.5400390625,2786.570068359375,2786.570068359375,3364100000.0
2018-03-12,1.2812000513076782,1.2838300466537476,1.2800999879837036,1.2812199592590332,1.2812199592590332,0.0,15.279999732971191,16.350000381469727,15.180000305175781,15.779999732971191,15.779999732971191,0.0,15579.599609375,15628.099609375,15549.0,15604.7998046875,15604.7998046875,15223110000.0,2790.5400390625,2796.97998046875,2779.260009765625,2783.02001953125,2783.02001953125,3185020000.0
2018-03-13,1.2843300104141235,1.2934600114822388,1.2829999923706055,1.284209966659546,1.284209966659546,0.0,15.699999809265137,16.979999542236328,15.029999732971191,16.350000381469727,16.350000381469727,0.0,15661.5,15709.400390625,15628.7998046875,15647.099609375,15647.099609375,15892150000.0,2792.31005859375,2801.89990234375,2758.679931640625,2765.31005859375,2765.31005859375,3301650000.0
